trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.995}",20,0,-148.8835648547541,"{0: 11, 1: 0, 2: 6, 3: 1, 4: 2}",0
2,False,"{'a': 0.5, 'e': 0.99}",35,0,-157.79118502551427,"{0: 21, 1: 5, 2: 6, 3: 1, 4: 2}",0
3,False,"{'a': 0.5, 'e': 0.985}",20,0,-63.937300531622775,"{0: 11, 1: 5, 2: 3, 3: 1, 4: 0}",0
4,False,"{'a': 0.5, 'e': 0.98}",20,0,-117.10465760041943,"{0: 12, 1: 2, 2: 4, 3: 0, 4: 2}",0
5,False,"{'a': 0.5, 'e': 0.975}",20,0,-196.3489882899326,"{0: 8, 1: 2, 2: 6, 3: 1, 4: 3}",0
6,False,"{'a': 0.5, 'e': 0.97}",25,0,-115.48896475293058,"{0: 15, 1: 7, 2: 1, 3: 0, 4: 2}",0
7,False,"{'a': 0.5, 'e': 0.965}",25,0,-139.52410055778392,"{0: 15, 1: 2, 2: 5, 3: 1, 4: 2}",0
8,False,"{'a': 0.5, 'e': 0.96}",25,0,-68.464650276094,"{0: 15, 1: 3, 2: 7, 3: 0, 4: 0}",0
9,False,"{'a': 0.5, 'e': 0.955}",30,0,-205.2312233490015,"{0: 15, 1: 3, 2: 9, 3: 0, 4: 3}",0
10,False,"{'a': 0.5, 'e': 0.95}",20,0,-82.78695147317572,"{0: 12, 1: 4, 2: 2, 3: 1, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.945}",20,0,-66.99474106826014,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
12,False,"{'a': 0.5, 'e': 0.94}",25,0,-118.31980602959877,"{0: 17, 1: 1, 2: 5, 3: 0, 4: 2}",0
13,False,"{'a': 0.5, 'e': 0.9349999999999999}",20,0,-128.5660564114734,"{0: 10, 1: 2, 2: 5, 3: 2, 4: 1}",0
14,False,"{'a': 0.5, 'e': 0.9299999999999999}",25,0,-200.91556050946653,"{0: 15, 1: 2, 2: 4, 3: 0, 4: 4}",0
15,False,"{'a': 0.5, 'e': 0.9249999999999999}",35,0,-193.12083283379135,"{0: 23, 1: 4, 2: 4, 3: 0, 4: 4}",0
16,False,"{'a': 0.5, 'e': 0.9199999999999999}",20,6,-33.63306529356273,"{0: 8, 1: 2, 2: 4, 3: 0, 4: 0}",1
17,False,"{'a': 0.5, 'e': 0.9149999999999999}",20,3,-53.95461223998753,"{0: 12, 1: 2, 2: 2, 3: 0, 4: 1}",1
18,False,"{'a': 0.5, 'e': 0.9099999999999999}",20,0,2.9653613565542907,"{0: 17, 1: 3, 2: 0, 3: 0, 4: 0}",0
19,False,"{'a': 0.5, 'e': 0.9049999999999999}",20,0,-75.43180992046777,"{0: 14, 1: 0, 2: 3, 3: 3, 4: 0}",0
20,False,"{'a': 0.5, 'e': 0.8999999999999999}",20,0,-61.78948785100887,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 1}",1
21,False,"{'a': 0.5, 'e': 0.8949999999999999}",20,0,-118.07575479832529,"{0: 10, 1: 4, 2: 3, 3: 2, 4: 1}",0
22,False,"{'a': 0.5, 'e': 0.8899999999999999}",20,4,-66.00901930538123,"{0: 11, 1: 1, 2: 2, 3: 1, 4: 1}",1
23,False,"{'a': 0.5, 'e': 0.8849999999999999}",20,0,-126.30621568120912,"{0: 11, 1: 3, 2: 4, 3: 0, 4: 2}",0
24,False,"{'a': 0.5, 'e': 0.8799999999999999}",20,0,-110.29678729071969,"{0: 13, 1: 2, 2: 2, 3: 1, 4: 2}",0
25,False,"{'a': 0.5, 'e': 0.8749999999999999}",20,0,-72.571880059021,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
26,False,"{'a': 0.5, 'e': 0.8699999999999999}",30,0,-67.44487210349483,"{0: 23, 1: 2, 2: 4, 3: 0, 4: 1}",0
27,False,"{'a': 0.5, 'e': 0.8649999999999999}",25,0,-107.98152569339581,"{0: 16, 1: 2, 2: 5, 3: 1, 4: 1}",0
28,False,"{'a': 0.5, 'e': 0.8599999999999999}",20,0,-63.02426976477698,"{0: 13, 1: 2, 2: 3, 3: 2, 4: 0}",0
29,False,"{'a': 0.5, 'e': 0.8549999999999999}",20,0,-142.262610047408,"{0: 13, 1: 0, 2: 4, 3: 0, 4: 3}",0
30,False,"{'a': 0.5, 'e': 0.8499999999999999}",25,0,-60.54150930516403,"{0: 16, 1: 3, 2: 6, 3: 0, 4: 0}",0
31,False,"{'a': 0.5, 'e': 0.8449999999999999}",25,0,-217.3628960125083,"{0: 16, 1: 3, 2: 0, 3: 1, 4: 5}",0
32,False,"{'a': 0.5, 'e': 0.8399999999999999}",20,9,-37.70591149979303,"{0: 5, 1: 3, 2: 3, 3: 0, 4: 0}",1
33,False,"{'a': 0.5, 'e': 0.8349999999999999}",35,13,-39.02603450108481,"{0: 16, 1: 0, 2: 5, 3: 1, 4: 0}",1
34,False,"{'a': 0.5, 'e': 0.8299999999999998}",20,0,-77.03174387856666,"{0: 15, 1: 0, 2: 3, 3: 1, 4: 1}",0
35,False,"{'a': 0.5, 'e': 0.8249999999999998}",35,0,-62.978808814691355,"{0: 26, 1: 3, 2: 4, 3: 2, 4: 0}",0
36,False,"{'a': 0.5, 'e': 0.8199999999999998}",20,0,-152.34096643091027,"{0: 10, 1: 3, 2: 3, 3: 2, 4: 2}",0
37,False,"{'a': 0.5, 'e': 0.8149999999999998}",25,0,-135.1940815128077,"{0: 14, 1: 3, 2: 6, 3: 0, 4: 2}",0
38,False,"{'a': 0.5, 'e': 0.8099999999999998}",25,16,-28.184796102567113,"{0: 6, 1: 0, 2: 2, 3: 1, 4: 0}",1
39,False,"{'a': 0.5, 'e': 0.8049999999999998}",30,0,-166.12037330778156,"{0: 19, 1: 2, 2: 5, 3: 2, 4: 2}",0
40,False,"{'a': 0.5, 'e': 0.7999999999999998}",30,0,-103.40080693791606,"{0: 18, 1: 3, 2: 7, 3: 2, 4: 0}",0
41,False,"{'a': 0.5, 'e': 0.7949999999999998}",25,0,-79.95051457517641,"{0: 16, 1: 0, 2: 8, 3: 1, 4: 0}",0
42,False,"{'a': 0.5, 'e': 0.7899999999999998}",20,0,-31.60444016106625,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
43,False,"{'a': 0.5, 'e': 0.7849999999999998}",20,0,-52.781439803681614,"{0: 14, 1: 3, 2: 2, 3: 0, 4: 1}",0
44,False,"{'a': 0.5, 'e': 0.7799999999999998}",20,0,-56.46478276981299,"{0: 13, 1: 0, 2: 7, 3: 0, 4: 0}",0
45,False,"{'a': 0.5, 'e': 0.7749999999999998}",25,14,-83.18907223274698,"{0: 6, 1: 1, 2: 1, 3: 2, 4: 1}",1
46,False,"{'a': 0.5, 'e': 0.7699999999999998}",25,6,-19.111716800329397,"{0: 17, 1: 1, 2: 0, 3: 0, 4: 1}",1
47,False,"{'a': 0.5, 'e': 0.7649999999999998}",20,0,-10.324793285546134,"{0: 17, 1: 1, 2: 1, 3: 1, 4: 0}",0
48,False,"{'a': 0.5, 'e': 0.7599999999999998}",30,0,-96.65036673946474,"{0: 21, 1: 2, 2: 5, 3: 1, 4: 1}",0
49,False,"{'a': 0.5, 'e': 0.7549999999999998}",20,11,-2.9743466619375596,"{0: 7, 1: 1, 2: 1, 3: 0, 4: 0}",1
50,False,"{'a': 0.5, 'e': 0.7499999999999998}",20,4,-123.7802564965088,"{0: 7, 1: 3, 2: 4, 3: 0, 4: 2}",1
51,False,"{'a': 0.5, 'e': 0.7449999999999998}",20,16,7.320893933665166,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
52,False,"{'a': 0.5, 'e': 0.7399999999999998}",20,8,-86.82022628814119,"{0: 8, 1: 1, 2: 1, 3: 0, 4: 2}",1
