trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.48, 'e': 1.0}",20,0,-129.35223585436046,"{0: 12, 1: 1, 2: 4, 3: 1, 4: 2}",0
2,False,"{'a': 0.45999999999999996, 'e': 0.9801986733067553}",30,0,-162.65720966478443,"{0: 17, 1: 4, 2: 6, 3: 1, 4: 2}",0
3,False,"{'a': 0.43999999999999995, 'e': 0.9607894391523232}",30,0,-61.46610713544827,"{0: 21, 1: 2, 2: 6, 3: 1, 4: 0}",0
4,False,"{'a': 0.41999999999999993, 'e': 0.9417645335842487}",20,0,-68.55312647533503,"{0: 12, 1: 2, 2: 5, 3: 1, 4: 0}",0
5,False,"{'a': 0.3999999999999999, 'e': 0.9231163463866358}",35,0,-281.80834408497526,"{0: 18, 1: 3, 2: 8, 3: 2, 4: 4}",0
6,False,"{'a': 0.3799999999999999, 'e': 0.9048374180359595}",30,0,-182.8444555568566,"{0: 19, 1: 1, 2: 6, 3: 1, 4: 3}",0
7,False,"{'a': 0.3599999999999999, 'e': 0.8869204367171575}",30,1,-305.8969295471467,"{0: 13, 1: 1, 2: 8, 3: 2, 4: 5}",1
8,False,"{'a': 0.33999999999999986, 'e': 0.8693582353988059}",25,0,-101.67208389013692,"{0: 13, 1: 5, 2: 5, 3: 2, 4: 0}",0
9,False,"{'a': 0.31999999999999984, 'e': 0.8521437889662113}",20,0,-31.896365922610407,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",0
10,False,"{'a': 0.2999999999999998, 'e': 0.835270211411272}",20,0,-48.008498900746744,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
11,False,"{'a': 0.2799999999999998, 'e': 0.8187307530779818}",20,0,-74.58000580808734,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
12,False,"{'a': 0.2599999999999998, 'e': 0.8025187979624785}",30,11,-60.955182296961375,"{0: 10, 1: 3, 2: 6, 3: 0, 4: 0}",1
13,False,"{'a': 0.2399999999999998, 'e': 0.7866278610665535}",20,0,-166.8521066457917,"{0: 10, 1: 4, 2: 2, 3: 1, 4: 3}",0
14,False,"{'a': 0.2199999999999998, 'e': 0.7710515858035663}",20,0,-217.0881917241077,"{0: 10, 1: 0, 2: 3, 3: 4, 4: 3}",0
15,False,"{'a': 0.19999999999999982, 'e': 0.7557837414557255}",25,7,-8.2607957862362,"{0: 15, 1: 0, 2: 3, 3: 0, 4: 0}",1
16,False,"{'a': 0.19999999999999982, 'e': 0.7408182206817179}",25,0,-24.414694888513765,"{0: 19, 1: 3, 2: 2, 3: 1, 4: 0}",0
17,False,"{'a': 0.19999999999999982, 'e': 0.7261490370736909}",25,7,-57.307535704808004,"{0: 12, 1: 0, 2: 4, 3: 2, 4: 0}",1
18,False,"{'a': 0.19999999999999982, 'e': 0.7117703227626097}",25,0,-44.56190014741687,"{0: 18, 1: 4, 2: 2, 3: 1, 4: 0}",0
19,False,"{'a': 0.19999999999999982, 'e': 0.697676326071031}",20,0,-65.2222261109115,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 1}",0
20,False,"{'a': 0.19999999999999982, 'e': 0.6838614092123558}",25,12,-25.485752330649884,"{0: 10, 1: 0, 2: 2, 3: 1, 4: 0}",1
21,False,"{'a': 0.19999999999999982, 'e': 0.6703200460356393}",20,7,-3.2615420443894942,"{0: 11, 1: 0, 2: 2, 3: 0, 4: 0}",1
22,False,"{'a': 0.19999999999999982, 'e': 0.6570468198150567}",20,0,-42.673850805930414,"{0: 16, 1: 2, 2: 1, 3: 0, 4: 1}",1
23,False,"{'a': 0.19999999999999982, 'e': 0.6440364210831414}",20,15,3.4048069890563024,"{0: 4, 1: 1, 2: 0, 3: 0, 4: 0}",1
24,False,"{'a': 0.19999999999999982, 'e': 0.631283645506926}",30,0,-183.40044415254,"{0: 21, 1: 0, 2: 5, 3: 0, 4: 4}",0
25,False,"{'a': 0.19999999999999982, 'e': 0.6187833918061408}",25,0,-151.64617157375986,"{0: 16, 1: 1, 2: 3, 3: 3, 4: 2}",0
