trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",25,0,-96.43994071304579,"{0: 16, 1: 2, 2: 6, 3: 0, 4: 1}",0
2,False,"{'a': 0.5, 'e': 1.0}",30,0,-178.21105113226497,"{0: 15, 1: 6, 2: 6, 3: 1, 4: 2}",0
3,False,"{'a': 0.5, 'e': 1.0}",20,0,-46.09278294317682,"{0: 13, 1: 4, 2: 2, 3: 1, 4: 0}",0
4,False,"{'a': 0.5, 'e': 1.0}",25,0,-133.1702284336522,"{0: 15, 1: 4, 2: 3, 3: 1, 4: 2}",0
5,False,"{'a': 0.5, 'e': 1.0}",20,0,-70.6053812658402,"{0: 11, 1: 5, 2: 2, 3: 2, 4: 0}",0
6,False,"{'a': 0.5, 'e': 1.0}",25,0,-92.24234900966525,"{0: 15, 1: 3, 2: 5, 3: 2, 4: 0}",0
7,False,"{'a': 0.5, 'e': 1.0}",20,0,-118.87047058318079,"{0: 12, 1: 4, 2: 1, 3: 1, 4: 2}",0
8,False,"{'a': 0.5, 'e': 1.0}",20,0,-174.40488349303214,"{0: 10, 1: 3, 2: 3, 3: 1, 4: 3}",0
9,False,"{'a': 0.5, 'e': 1.0}",20,0,-125.46630128392934,"{0: 10, 1: 1, 2: 7, 3: 1, 4: 1}",0
10,False,"{'a': 0.5, 'e': 1.0}",20,0,-145.9240791355181,"{0: 11, 1: 4, 2: 2, 3: 0, 4: 3}",0
11,False,"{'a': 0.5, 'e': 1.0}",30,0,-133.48233265336708,"{0: 21, 1: 1, 2: 5, 3: 1, 4: 2}",0
12,False,"{'a': 0.5, 'e': 1.0}",20,0,-221.2279508830167,"{0: 10, 1: 2, 2: 2, 3: 2, 4: 4}",0
13,False,"{'a': 0.5, 'e': 1.0}",25,0,-165.68092879433976,"{0: 12, 1: 3, 2: 7, 3: 1, 4: 2}",0
14,False,"{'a': 0.5, 'e': 1.0}",30,0,-91.09354719720533,"{0: 16, 1: 6, 2: 8, 3: 0, 4: 0}",0
15,False,"{'a': 0.5, 'e': 1.0}",20,0,-86.47187364641216,"{0: 13, 1: 0, 2: 6, 3: 0, 4: 1}",0
16,False,"{'a': 0.5, 'e': 1.0}",30,10,-42.90303194264217,"{0: 11, 1: 6, 2: 3, 3: 0, 4: 0}",1
17,False,"{'a': 0.5, 'e': 1.0}",25,0,-114.16631297908427,"{0: 17, 1: 1, 2: 5, 3: 0, 4: 2}",0
18,False,"{'a': 0.5, 'e': 1.0}",30,0,-170.62651930207525,"{0: 17, 1: 5, 2: 4, 3: 2, 4: 2}",0
19,False,"{'a': 0.5, 'e': 1.0}",20,0,-119.90055905714274,"{0: 11, 1: 1, 2: 5, 3: 2, 4: 1}",0
20,False,"{'a': 0.5, 'e': 1.0}",25,9,-111.11161488406817,"{0: 8, 1: 3, 2: 3, 3: 0, 4: 2}",1
1,True,"{'a': 0.5, 'e': 1.0}",20,0,-209.2511145761566,"{0: 9, 1: 2, 2: 5, 3: 0, 4: 4}",0
2,True,"{'a': 0.5, 'e': 1.0}",20,0,-86.19396503594008,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
3,True,"{'a': 0.5, 'e': 1.0}",30,7,-157.52854066891663,"{0: 12, 1: 1, 2: 7, 3: 1, 4: 2}",1
4,True,"{'a': 0.5, 'e': 1.0}",20,0,-59.11342610803634,"{0: 11, 1: 5, 2: 4, 3: 0, 4: 0}",0
5,True,"{'a': 0.5, 'e': 1.0}",25,0,-98.33415388219801,"{0: 17, 1: 2, 2: 3, 3: 2, 4: 1}",0
6,True,"{'a': 0.5, 'e': 1.0}",20,0,-127.1804676246525,"{0: 15, 1: 0, 2: 1, 3: 1, 4: 3}",0
7,True,"{'a': 0.5, 'e': 1.0}",30,10,-146.14753016300483,"{0: 10, 1: 2, 2: 5, 3: 1, 4: 2}",1
8,True,"{'a': 0.5, 'e': 1.0}",30,0,-175.99103352343133,"{0: 19, 1: 3, 2: 4, 3: 1, 4: 3}",0
9,True,"{'a': 0.5, 'e': 1.0}",20,0,-103.761356861674,"{0: 10, 1: 1, 2: 7, 3: 2, 4: 0}",0
10,True,"{'a': 0.5, 'e': 1.0}",30,0,-185.9462662008146,"{0: 15, 1: 9, 2: 2, 3: 1, 4: 3}",0
